FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,3 00,20,3942,Director of Field Operations,Annual,1,1,84180.00,84180.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,BX 15,10,3442,Regional Communicable Disease Investigator,Annual,1,1,73752.00,73752.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 12,3,3434,Communicable Disease Control Investigator II,Annual,1,1,60600.00,60600.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,G 07,4,3414,Epidemiologist II,Annual,2,1,91224.00,182448.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,G 07,4,3414,Epidemiologist II,Annual,1,1,79212.00,79212.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,3 00,20,3408,Epidemiologist IV,Annual,1,1,90696.00,90696.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,3 00,0,3401,Manager of Quality Assurance,Annual,1,1,85872.00,85872.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,MX 02,9,3348,Medical Director,Hourly,2,1,71.29,296566.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,BX 17,10,3092,Program Director,Annual,1,1,84780.00,84780.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,BX 14,10,3091,Assistant Program Director,Annual,1,1,80916.00,80916.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,G 07,3,2989,Grants Research Specialist,Annual,1,1,68616.00,68616.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,3 00,20,2901,Director of Planning  Research and Development,Annual,1,1,85020.00,85020.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 13,3,2381,Sanitarian II,Annual,1,1,66492.00,66492.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 13,3,2381,Sanitarian II,Annual,1,1,63456.00,63456.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 13,3,2381,Sanitarian II,Annual,1,1,59976.00,59976.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 10,1,1817,Head Storekeeper,Annual,2,1,37704.00,75408.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 14,1,1730,Program Analyst,Annual,1,1,54672.00,54672.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 14,1,1359,Training Officer,Annual,1,1,62832.00,62832.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 14,1,703,Public Relations Rep III,Annual,1,1,54672.00,54672.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 09,1,665,Senior Data Entry Operator,Annual,1,1,57828.00,57828.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 09,1,665,Senior Data Entry Operator,Annual,1,1,50280.00,50280.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,3 00,9,313,Assistant Commissioner,Annual,1,1,101460.00,101460.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,3 00,9,311,Projects Administrator,Annual,1,1,112692.00,112692.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,3 00,9,311,Projects Administrator,Annual,1,1,102000.00,102000.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,3 00,9,311,Projects Administrator,Annual,1,1,101700.00,101700.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,3 00,9,311,Projects Administrator,Annual,1,1,76980.00,76980.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,3 00,9,311,Projects Administrator,Annual,1,1,76932.00,76932.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,3 00,9,311,Projects Administrator,Annual,1,1,76020.00,76020.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,3 00,0,310,Project Manager,Annual,1,1,105000.00,105000.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,3 00,0,310,Project Manager,Annual,1,1,82404.00,82404.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 12,1,303,Administrative Assistant III,Annual,2,1,76428.00,152856.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,69648.00,69648.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,63456.00,63456.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,45372.00,45372.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,63456.00,63456.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,GZ 07,4,124,Finance Officer,Annual,1,1,80256.00,80256.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,1 00,0,44,Fringe Benefits,Annual,0,0,1525448.00,1525448.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2829,BIOTERRORISM RESPONSE,3970,Hospital Preparedness and Response,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,20324.00,20324.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2883,BIOTERRORISM HOSPITAL PREP,3819,Bioterrorism Hospital Preparedness,0,,B 12,4,3465,Public Health Administrator I,Annual,1,1,57828.00,57828.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2883,BIOTERRORISM HOSPITAL PREP,3819,Bioterrorism Hospital Preparedness,0,,3 00,9,311,Projects Administrator,Annual,1,1,102852.00,102852.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2883,BIOTERRORISM HOSPITAL PREP,3819,Bioterrorism Hospital Preparedness,0,,3 00,0,310,Project Manager,Annual,1,1,89904.00,89904.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2883,BIOTERRORISM HOSPITAL PREP,3819,Bioterrorism Hospital Preparedness,0,,G 07,4,193,Auditor III,Annual,1,1,91224.00,91224.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2883,BIOTERRORISM HOSPITAL PREP,3819,Bioterrorism Hospital Preparedness,0,,1 00,0,44,Fringe Benefits,Annual,0,0,130809.00,130809.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2883,BIOTERRORISM HOSPITAL PREP,3819,Bioterrorism Hospital Preparedness,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1848.00,1848.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2944,LEAD HAZARD REDUCTION DEMO,3944,Lead Hazard Reduction Demonstration,0,,B 14,4,3466,Public Health Administrator II,Annual,1,1,62832.00,62832.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2944,LEAD HAZARD REDUCTION DEMO,3944,Lead Hazard Reduction Demonstration,0,,1 00,0,44,Fringe Benefits,Annual,0,0,24046.00,24046.00
Grant,847,DOH BIOTERRORISM GRANT PGM,41,DEPARTMENT OF PUBLIC HEALTH,1005,2944,LEAD HAZARD REDUCTION DEMO,3944,Lead Hazard Reduction Demonstration,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1984.00,1984.00
Grant,890,HEAD START,50,FAMILY AND SUPPORT SERVICES,1005,2860,HEAD START,3905,Head Start,0,,B 10,1,431,Clerk IV,Annual,1,1,50280.00,50280.00
Grant,848,CHGO DEPT AGING FED,50,FAMILY AND SUPPORT SERVICES,1005,2828,RESIDENT SERVICE / CASE MGMT,3828,Resident Service / Case Management,0,,GY 05,20,3079,Resident Services Coordinator II,Annual,2,1,48888.00,97776.00
Grant,848,CHGO DEPT AGING FED,50,FAMILY AND SUPPORT SERVICES,1005,2828,RESIDENT SERVICE / CASE MGMT,3828,Resident Service / Case Management,0,,G 03,3,3078,Resident Services Coordinator I,Annual,2,1,62916.00,125832.00
Grant,848,CHGO DEPT AGING FED,50,FAMILY AND SUPPORT SERVICES,1005,2828,RESIDENT SERVICE / CASE MGMT,3828,Resident Service / Case Management,0,,G 03,3,3078,Resident Services Coordinator I,Annual,1,1,59268.00,59268.00
Grant,848,CHGO DEPT AGING FED,50,FAMILY AND SUPPORT SERVICES,1005,2828,RESIDENT SERVICE / CASE MGMT,3828,Resident Service / Case Management,0,,G 03,3,3078,Resident Services Coordinator I,Annual,2,1,56472.00,112944.00
Grant,848,CHGO DEPT AGING FED,50,FAMILY AND SUPPORT SERVICES,1005,2828,RESIDENT SERVICE / CASE MGMT,3828,Resident Service / Case Management,0,,G 03,3,3078,Resident Services Coordinator I,Annual,2,1,53808.00,107616.00
Grant,848,CHGO DEPT AGING FED,50,FAMILY AND SUPPORT SERVICES,1005,2828,RESIDENT SERVICE / CASE MGMT,3828,Resident Service / Case Management,0,,G 03,3,3078,Resident Services Coordinator I,Annual,1,1,51180.00,51180.00
Grant,848,CHGO DEPT AGING FED,50,FAMILY AND SUPPORT SERVICES,1005,2828,RESIDENT SERVICE / CASE MGMT,3828,Resident Service / Case Management,0,,G 03,3,3078,Resident Services Coordinator I,Annual,4,1,49788.00,199152.00
Grant,848,CHGO DEPT AGING FED,50,FAMILY AND SUPPORT SERVICES,1005,2828,RESIDENT SERVICE / CASE MGMT,3828,Resident Service / Case Management,0,,G 03,3,3078,Resident Services Coordinator I,Annual,2,1,48828.00,97656.00
Grant,848,CHGO DEPT AGING FED,50,FAMILY AND SUPPORT SERVICES,1005,2828,RESIDENT SERVICE / CASE MGMT,3828,Resident Service / Case Management,0,,G 03,3,3078,Resident Services Coordinator I,Annual,1,1,44316.00,44316.00
Grant,848,CHGO DEPT AGING FED,50,FAMILY AND SUPPORT SERVICES,1005,2828,RESIDENT SERVICE / CASE MGMT,3828,Resident Service / Case Management,0,,1 00,0,44,Fringe Benefits,Annual,0,0,342801.00,342801.00
Grant,848,CHGO DEPT AGING FED,50,FAMILY AND SUPPORT SERVICES,1005,2828,RESIDENT SERVICE / CASE MGMT,3828,Resident Service / Case Management,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,8812.00,8812.00
Grant,863,ENVIRONMENTAL STATE,41,DEPARTMENT OF PUBLIC HEALTH,1005,2722,SOLID WASTE MANAGEMENT,3722,Solid Waste Management,0,,3 00,9,311,Projects Administrator,Annual,1,1,73752.00,73752.00
Grant,863,ENVIRONMENTAL STATE,41,DEPARTMENT OF PUBLIC HEALTH,1005,2722,SOLID WASTE MANAGEMENT,3722,Solid Waste Management,0,,1 00,0,44,Fringe Benefits,Annual,0,0,28225.00,28225.00
Grant,869,SHELTER PLUS CARE,50,FAMILY AND SUPPORT SERVICES,1005,2888,SHELTER PLUS GRANT - 2009,3888,Shelter Plus Care,0,,GY 07,10,2918,Chief Planning Analyst,Annual,1,1,80256.00,80256.00
Grant,869,SHELTER PLUS CARE,50,FAMILY AND SUPPORT SERVICES,1005,2888,SHELTER PLUS GRANT - 2009,3888,Shelter Plus Care,0,,1 00,0,44,Fringe Benefits,Annual,0,0,30714.00,30714.00
Grant,878,DHS-FOOD PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2870,SUMMER FOOD SERVICE,3871,Summer Food Service,0,,BX 12,10,4099,Summer Program Specialist II,Monthly,24,0,3435.00,82440.00
Grant,878,DHS-FOOD PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2870,SUMMER FOOD SERVICE,3871,Summer Food Service,0,,B 10,1,4098,Summer Program Specialist I,Monthly,60,0,3142.00,188520.00
Grant,878,DHS-FOOD PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2870,SUMMER FOOD SERVICE,3871,Summer Food Service,0,,1 00,0,44,Fringe Benefits,Annual,0,0,103697.00,103697.00
Grant,880,DHS-HUD,50,FAMILY AND SUPPORT SERVICES,1005,2835,EMERGENCY SHELTER - HUD,3835,Emergency Shelter - HUD Mck Ac,0,,BX 17,10,3092,Program Director,Annual,1,1,102060.00,102060.00
Grant,880,DHS-HUD,50,FAMILY AND SUPPORT SERVICES,1005,2835,EMERGENCY SHELTER - HUD,3835,Emergency Shelter - HUD Mck Ac,0,,1 00,0,3019,Dir of Homeless Prev-Pol & Plan,Annual,1,1,93504.00,93504.00
Grant,880,DHS-HUD,50,FAMILY AND SUPPORT SERVICES,1005,2835,EMERGENCY SHELTER - HUD,3835,Emergency Shelter - HUD Mck Ac,0,,B 12,1,690,Help Desk Technician,Annual,1,1,54672.00,54672.00
Grant,880,DHS-HUD,50,FAMILY AND SUPPORT SERVICES,1005,2835,EMERGENCY SHELTER - HUD,3835,Emergency Shelter - HUD Mck Ac,0,,G 08,4,635,Senior Programmer/Analyst,Annual,1,1,99648.00,99648.00
Grant,880,DHS-HUD,50,FAMILY AND SUPPORT SERVICES,1005,2835,EMERGENCY SHELTER - HUD,3835,Emergency Shelter - HUD Mck Ac,0,,1 00,0,44,Fringe Benefits,Annual,0,0,133900.00,133900.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,105060.00,105060.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,G 06,4,3934,Social Worker III,Annual,4,1,83640.00,334560.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,G 06,4,3934,Social Worker III,Annual,1,1,79212.00,79212.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,G 06,4,3934,Social Worker III,Annual,2,1,72156.00,144312.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,G 06,4,3934,Social Worker III,Annual,2,1,65424.00,130848.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,1,3914,Support Services Coordinator,Annual,1,1,66492.00,66492.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,3,3826,Human Service Specialist II,Annual,6,1,83832.00,502992.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,3,3826,Human Service Specialist II,Annual,1,1,76428.00,76428.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,3,3826,Human Service Specialist II,Annual,6,1,69648.00,417888.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,3,3826,Human Service Specialist II,Annual,6,1,66492.00,398952.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,3,3826,Human Service Specialist II,Annual,1,1,63456.00,63456.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,3,3826,Human Service Specialist II,Annual,2,1,59976.00,119952.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,3,3826,Human Service Specialist II,Annual,1,1,57240.00,57240.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,3,3826,Human Service Specialist II,Annual,1,1,52200.00,52200.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 15,10,3818,Assistant District Manager - HS,Annual,1,1,70380.00,70380.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 15,10,3818,Assistant District Manager - HS,Annual,1,1,63516.00,63516.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 15,10,3818,Assistant District Manager - HS,Annual,1,1,54492.00,54492.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 17,20,3817,District Manager - HS,Annual,1,1,106884.00,106884.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 17,20,3817,District Manager - HS,Annual,1,1,88812.00,88812.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 17,20,3817,District Manager - HS,Annual,1,1,84780.00,84780.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 17,20,3817,District Manager - HS,Annual,1,1,76512.00,76512.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 17,20,3817,District Manager - HS,Annual,1,1,73020.00,73020.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 17,20,3817,District Manager - HS,Annual,1,1,63516.00,63516.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 17,10,3814,Assistant Director of Human Services,Annual,1,1,97416.00,97416.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,3 00,10,3812,Director of Human Services,Annual,1,1,102060.00,102060.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 16,10,3076,Coordinator of Community Services,Annual,1,1,84780.00,84780.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 16,10,3076,Coordinator of Community Services,Annual,1,1,77280.00,77280.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 16,10,3076,Coordinator of Community Services,Annual,1,1,73752.00,73752.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,G 07,3,2989,Grants Research Specialist,Annual,1,1,82812.00,82812.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 16,10,2916,Supervising Program Auditor,Annual,1,1,78420.00,78420.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,1,2915,Program Auditor II,Annual,1,1,83832.00,83832.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,1,2915,Program Auditor II,Annual,1,1,79992.00,79992.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,1,2915,Program Auditor II,Annual,1,1,69648.00,69648.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 13,1,2915,Program Auditor II,Annual,1,1,66492.00,66492.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,GY 07,10,2902,Chief Research Analyst,Annual,1,1,80256.00,80256.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 15,10,1912,Project Coordinator,Annual,1,1,70380.00,70380.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,3 00,20,1484,Director of Monitoring Services,Annual,1,1,80904.00,80904.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 12,1,1342,Senior Personnel Assistant,Annual,1,1,63456.00,63456.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 13,10,1303,Administrative Services Officer I - Excluded,Annual,1,1,64152.00,64152.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 10,1,431,Clerk IV,Annual,1,1,48048.00,48048.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 13,20,366,Staff Assistant - Excluded,Annual,1,1,60408.00,60408.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 15,10,320,Assistant to the Commissioner,Annual,1,1,70380.00,70380.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BX 14,20,318,Assistant to the Commissioner,Annual,1,1,64152.00,64152.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,3 00,9,311,Projects Administrator,Annual,1,1,72852.00,72852.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,BZ 13,1,308,Staff Assistant,Annual,2,1,61620.00,123240.00
Grant,884,DHS-DCCA PROGRAM,50,FAMILY AND SUPPORT SERVICES,1005,2805,CSBG,3805,Community Services Block Grant,0,,B 10,1,302,Administrative Assistant II,Annual,3,1,63456.00,190368.00
