FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 3A,87,8771,Firefighter - Per Arbitrators Award,Annual,2,1,97440.00,194880.00
Grant,41,HEALTH,0U23,Immunizations and Vaccines for Children,1005,DEPARTMENT OF PUBLIC HEALTH,2820,Immunizations and Vaccines for Children,3934,Immunization,0,,B 12,4,3465,Public Health Administrator I,Annual,1,1,69828.00,69828.00
Local,60,COPA,100,Corporate Fund,1005,COPA,2005,Civilian Office of Police Accountability,3015,Legal,0,,3 00,10,1666,Chief Investigative Law Officer,Annual,1,1,88416.00,88416.00
CDBG,21,HOUSING,0J45,Community Development Block Grant Year XLV,1005,DEPT OF HOUSING,2557,Housing Preservation,3557,Housing Preservation,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,88044.00,88044.00
Local,84,CDOT,100,Corporate Fund,1140,SIGN MANAGEMENT,2140,Division of Sign Management,3140,Sign Management,0,,2 0,41,8263,Sign Hanger,Hourly,8,1,28.59,475738.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2020,Revenue Services and Operations,3220,Accounts Receivable,4202,Advanced Collections,B 10,1,431,Clerk IV,Annual,1,1,55344.00,55344.00
Local,81,DSS,300,Vehicle Tax Fund,1030,BUREAU OF STREET OPERATIONS,2045,Bureau of Street Operations,3325,Field Operations,4324,Vacant Lot Cleaning,2 0,54,6324,Sanitation Laborer,Hourly,4,1,37.76,314163.00
Local,59,CFD,740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 3A,87,8733,Fire Engineer,Annual,3,1,103932.00,311796.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,References and Circulation Services,0,,G 05,5,506,Librarian II,Annual,1,1,79044.00,79044.00
Local,59,CFD,740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 1B,87,8801,Firefighter - EMT,Annual,4,1,89148.00,356592.00
Grant,41,HEALTH,0X61,Bioterrorism Preparedness Response Planning,1005,DEPARTMENT OF PUBLIC HEALTH,2829,Bioterrorism Preparedness Response Planning,3829,Bioterrorism Preparedness Response Planning,0,,SZ 07,56,3754,Public Health Nurse IV,Annual,1,1,114948.00,114948.00
Local,67,BUILDINGS,100,Corporate Fund,1005,BUILDINGS,2005,Department of Buildings,3040,Small Projects,4037,Short Forms,B 10,1,302,Administrative Assistant II,Annual,1,1,66612.00,66612.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2009,Organizational Development,3451,Education and Training Division,0,,3 00,0,1646,Attorney,Annual,1,1,76932.00,76932.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3102,Office of the First Deputy,4111,Medical Admin Regulatory Compliance,F 04,87,8707,Paramedic-In-Charge - Assigned as Training Instructor,Annual,6,1,104502.00,627012.00
Local,67,BUILDINGS,100,Corporate Fund,1005,BUILDINGS,2005,Department of Buildings,3025,Technical Inspections,4085,Electrical Code Compliance Inspection,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,30535.00,30535.00
Local,3,OIG,610,Chicago Midway Airport Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,1,1,64320.00,64320.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2012,Accounting and Financial Reporting,3041,Grant and Project Accounting,4088,Transportation Accounting,GY 10,20,120,Supervisor of Accounting,Annual,1,1,107244.00,107244.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3282,Youth Investigations Division,4286,Criminal Registration Unit,D 2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,103932.00,103932.00
Local,81,DSS,300,Vehicle Tax Fund,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3214,Special Traffic Services,0,,V 13,54,6295,Traffic Maintenance Supervisor,Annual,1,1,88008.00,88008.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4411,Revenue Management,G 06,4,103,Accountant III,Annual,1,1,83112.00,83112.00
Local,41,HEALTH,100,Corporate Fund,1005,DEPARTMENT OF PUBLIC HEALTH,2020,Public Health,3330,Food Sanitation,0,,BX 15,10,2383,Supervising Sanitarian,Annual,1,1,91752.00,91752.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3005,Administration and Support Services,0,,3 00,0,528,Director of Library Programs and Exhibit,Annual,1,1,113376.00,113376.00
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3006,Administration,4010,Administrative Services,3 00,0,379,Director of Administration,Annual,1,1,99624.00,99624.00
Local,1,MAYOR,100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9891,Administrative Assistant - Office Administrator,Annual,1,1,94788.00,94788.00
Local,88,DWM,200,Water Fund,1010,ADMINISTRATIVE SUPPORT,2010,Bureau of Administrative Support,3072,Finance,0,,3 00,0,117,Assistant Director of Finance,Annual,1,1,106812.00,106812.00
Local,85,AVIATION,610,Chicago Midway Airport Fund,1005,AVIATION,2010,Chicago Midway Airport,3010,Chicago Midway Airport,4313,Operations,V 15,54,7021,Airport Operations Supervisor II,Annual,1,1,105900.00,105900.00
Grant,41,HEALTH,0U61,Local Health Protection,1005,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,3730,Local Health Protection,0,,B 13,3,2381,Sanitarian II,Annual,1,1,55632.00,55632.00
Local,58,OEMC,100,Corporate Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,BX 16,10,6290,Superintendent of Special Traffic Service,Annual,1,1,83628.00,83628.00
Local,84,CDOT,300,Vehicle Tax Fund,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,Public Way Management,4237,Permitting,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2687.00,2687.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3005,Administration and Support Services,0,,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,5352.00,5352.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2007,Office of the First Deputy,3433,Crime Control Strategies Section,0,,D 01,91,9161,Police Officer,Annual,12,1,48078.00,576936.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2011,City Comptroller,3011,Fiscal Administration,0,,G 05,4,102,Accountant II,Annual,1,1,57120.00,57120.00
Local,39,ELECTIONS,100,Corporate Fund,1005,BOARD OF ELECTION COMMISSIONER,2005,Election and Administration Division,3051,Voter Records and Data Processing,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,34860.00,34860.00
Local,50,DFSS,100,Corporate Fund,1005,FAMILY AND SUPPORT SERVICES,2005,Department of Family and Support Services,3009,Grant Development  Policy and Planning,0,,3 00,10,1140,Chief Operations Analyst,Annual,1,1,92928.00,92928.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4404,Payroll Processing,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1019.00,1019.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 05,87,8737,Captain,Annual,19,1,128970.00,2450430.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4717,Skilled Trades,2 0,36,6676,Foreman of Machinists,Hourly,1,1,50.88,105830.00
Local,30,ADMINISTRATIVE HEARINGS,100,Corporate Fund,1005,ADMINISTRATIVE HEARINGS,2005,Department of Administrative Hearings,3015,Operational Services,4100,Building Hearings Division,B 10,1,302,Administrative Assistant II,Annual,1,1,69828.00,69828.00
Local,6,DOIT,100,Corporate Fund,1005,DOIT,2005,Department of Innovation and Technology,3360,Network and Telecommunications,0,,B 17,1,633,Principal Telecommunications Specialist,Annual,1,1,116280.00,116280.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2020,Revenue Services and Operations,3220,Accounts Receivable,4204,Citation Administration,U 06,53,7404,Traffic Enforcement Technician,Annual,1,1,37752.00,37752.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2423219.00,2423219.00
Local,85,AVIATION,610,Chicago Midway Airport Fund,1005,AVIATION,2010,Chicago Midway Airport,3010,Chicago Midway Airport,4333,Security,B 08,1,430,Clerk III,Annual,1,1,60744.00,60744.00
Grant,50,DFSS,0Y21,Area Plan on Aging - Older Americans Act - Federal,1005,FAMILY AND SUPPORT SERVICES,2904,Area Plan on Aging - Older Americans Act - Federal,3904,Area Plan on Aging - Older Americans Act - Federal,0,,3 00,10,322,Special Assistant,Annual,1,1,96118.00,96118.00
Grant,41,HEALTH,0U60,Housing Opportunities for People with AIDS (HOPWA),1005,DEPARTMENT OF PUBLIC HEALTH,2932,Housing Opportunities for People with AIDS (HOPWA),3993,Housing Opportunities for People with AIDS (HOPWA),0,,B 14,4,3466,Public Health Administrator II,Annual,1,1,96564.00,96564.00
Local,57,CPD,740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2012,Patrol Services,3292,Special Functions Division,4331,Airport Law Enforcement North - O'Hare Airport,D 01,91,9161,Police Officer,Annual,53,1,93354.00,4947762.00
Local,41,HEALTH,100,Corporate Fund,1005,DEPARTMENT OF PUBLIC HEALTH,2015,Mental Health,3215,Mental Health Administration,0,,3 00,9,313,Assistant Commissioner,Annual,1,1,100620.00,100620.00
Local,3,OIG,100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,,3 00,0,1717,Chief Data and Information Analyst,Annual,1,1,110052.00,110052.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4700,Administration Facilities,BX 16,20,309,Coordinator of Special Projects,Annual,1,1,105420.00,105420.00
Local,81,DSS,300,Vehicle Tax Fund,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3222,Auto Pounds,4153,Vehicle Impoundment Program,B 10,1,419,Customer Account Representative,Annual,1,1,42120.00,42120.00
Local,84,CDOT,100,Corporate Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3256,Labor,4262,Bridges,2 0,16,4756,Foreman of Plumbers,Hourly,1,1,53.25,110760.00
Local,27,FINANCE,300,Vehicle Tax Fund,1005,FINANCE,2015,Financial Strategy and Operations,3016,Financial Strategy,4006,Financial Policy,1 00,9,9651,Deputy Comptroller,Annual,1,1,124056.00,124056.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3004,Office of the Superintendent,0,,1 00,99,9011,Superintendent's Chief of Staff,Annual,1,1,174996.00,174996.00
Local,3,OIG,740,Chicago O'Hare Airport Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3027,Audit and Program Review,0,,GY 07,20,1125,Performance Analyst,Annual,1,1,64320.00,64320.00
Local,15,CITY COUNCIL,100,Corporate Fund,1005,CITY COUNCIL,2005,City Council,3005,City Council,0,,1 00,9,9611,Assistant Sergeant-At-Arms,Annual,1,1,65376.00,65376.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3429,Office of Community Policing,0,,1 00,9,9684,Deputy Director,Annual,1,1,123996.00,123996.00
Local,15,CITY COUNCIL,100,Corporate Fund,1005,CITY COUNCIL,2005,City Council,3005,City Council,0,,1 00,9,9601,Alderman,Annual,1,1,115932.00,115932.00
Local,81,DSS,300,Vehicle Tax Fund,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3225,Towing / Relocation Services,0,,2 0,8,718D,Pool Motor Truck Driver,Hourly,2420,0,36.45,88209.00
Local,54,PLANNING AND DEVELOPMENT,100,Corporate Fund,1005,Planning and Development,2005,Department of Planning and Development,3041,Economic Development,4027,Real Estate Services,3 00,9,313,Assistant Commissioner,Annual,1,1,100620.00,100620.00
Local,41,HEALTH,100,Corporate Fund,1005,DEPARTMENT OF PUBLIC HEALTH,2020,Public Health,3331,Tuberculosis Control,0,,SZ 06,56,3753,Public Health Nurse III,Annual,1,1,110160.00,110160.00
Local,39,ELECTIONS,100,Corporate Fund,1005,BOARD OF ELECTION COMMISSIONER,2005,Election and Administration Division,3051,Voter Records and Data Processing,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,2,1,49236.00,98472.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 3A,87,8771,Firefighter - Per Arbitrators Award,Annual,2,1,100980.00,201960.00
Local,88,DWM,200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3203,Agency Management,0,,3 00,0,310,Project Manager,Annual,2,1,99624.00,199248.00
Local,25,CITY CLERK,300,Vehicle Tax Fund,1005,CITY CLERK,2005,City Clerk,3025,Issuance of Vehicle Licenses,0,,1 00,9,9684,Deputy Director,Annual,1,1,113376.00,113376.00
Grant,5,OBM,75,Grants Management Fund,1005,OBM,2855,Central Grants Management,3935,Grants Administration,0,,GY 07,20,1105,Senior Budget Analyst,Annual,1,1,67464.00,67464.00
Local,84,CDOT,300,Vehicle Tax Fund,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,Public Way Management,4234,Construction Compliance,V 13,54,6137,Field Service Specialist II,Annual,4,1,65892.00,263568.00
Local,88,DWM,200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3215,Water Treatment,0,,2 0,45,9592,Foreman of Station Laborers,Monthly,2,1,4515.91,108382.00
Local,58,OEMC,610,Chicago Midway Airport Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3050,City Operations,4645,Traffic Management Authority,I 10,2,9104,Traffic Control Aide - Hourly,Hourly,292000,0,19.86,5799120.00
CDBG,67,BUILDINGS,0J45,Community Development Block Grant Year XLV,1005,BUILDINGS,2510,Code Enforcement,3510,Code Enforcement,0,,T 16,44,2150,Building/Construction Inspector,Annual,1,1,127536.00,127536.00
Local,84,CDOT,300,Vehicle Tax Fund,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,Public Way Management,4234,Construction Compliance,V 16,54,6139,Field Supervisor,Annual,2,1,127536.00,255072.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4717,Skilled Trades,2 0,32,5040,Foreman of Electrical Mechanics,Hourly,8,1,51.35,854464.00
Local,3,OIG,100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,,BX 12,20,323,Administrative Assistant III - Excluded,Annual,1,1,48960.00,48960.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4911,Airport Planning and Development,V 14,54,6138,Field Service Specialist III,Annual,2,1,62964.00,125928.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2126,Bureau of Facility Management,3102,Architecture and Construction,4119,Trades,2 0,53,9410,Laborer - Apprentice,Hourly,2,1,25.63,106621.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2103,Bureau of Finance and Administration,3111,Human Resources,4137,Labor Relations,BX 14,10,1255,Investigator,Annual,1,1,76164.00,76164.00
Grant,50,DFSS,0Y10,Community Services Block Grant,1005,FAMILY AND SUPPORT SERVICES,2805,Community Services Block Grant,3805,Community Services Block Grant,0,,B 10,1,302,Administrative Assistant II,Annual,2,1,63600.00,127200.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2007,Office of the First Deputy,3433,Crime Control Strategies Section,0,,E 03,71,9171,Sergeant,Annual,2,1,107988.00,215976.00
Local,54,PLANNING AND DEVELOPMENT,0B41,Neighborhood Opportunity Fund,1005,Planning and Development,2005,Department of Planning and Development,3041,Economic Development,4039,Neighborhood Opportunity,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,3420.00,3420.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3112,Fire Prevention,4146,Inspections,F 04,87,8735,Lieutenant,Annual,1,1,111252.00,111252.00
Local,58,OEMC,100,Corporate Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3050,City Operations,4146,Crossing Guards,H 01,2,9111,Crossing Guard,Hourly,112,1,22.36,1953370.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2103,Bureau of Finance and Administration,3110,Finance and Administration,4139,Finance and Accounting,B 12,1,303,Administrative Assistant III,Annual,1,1,80232.00,80232.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3005,Administration and Support Services,0,,2 0,8,7184,Pool Motor Truck Driver,Hourly,1,1,36.45,75816.00
Local,84,CDOT,100,Corporate Fund,1130,TRAFFIC SAFETY,2130,Division of Traffic Safety,3130,Traffic Safety,0,,3 00,10,6255,Traffic Engineer V,Annual,1,1,108960.00,108960.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4606,Airfield Operations,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,63032.00,63032.00
Local,50,DFSS,100,Corporate Fund,1005,FAMILY AND SUPPORT SERVICES,2005,Department of Family and Support Services,3025,Youth Programming,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,15907.00,15907.00
CDBG,41,HEALTH,0J45,Community Development Block Grant Year XLV,1005,DEPARTMENT OF PUBLIC HEALTH,2598,Mental Health Clinics,3577,Mental Health Clinics,0,,G 07,4,3534,Clinical Therapist III,Annual,4,1,69444.00,277776.00
Grant,41,HEALTH,0X42,HIV Behavioral Surveillance,1005,DEPARTMENT OF PUBLIC HEALTH,2978,HIV Behavioral Surveillance,3947,HIV Behavioral Surveillance,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2780.00,2780.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3100,Departmental Administration,4104,Finance/Payroll,V 12,54,175,Field Payroll Auditor,Annual,1,1,60108.00,60108.00
Local,58,OEMC,353,Emergency Communication Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3010,Operations,4040,Police Dispatch,I 14,2,8602,Police Communications Operator II,Annual,15,1,60648.00,909720.00
CDBG,54,PLANNING AND DEVELOPMENT,0J45,Community Development Block Grant Year XLV,1005,Planning and Development,2505,Finance and Administration,3505,Finance and Human Resources,0,,GY 10,20,120,Supervisor of Accounting,Annual,1,1,110400.00,110400.00
Local,81,DSS,0B32,Garbage Collection Fund,1015,BUREAU OF SANITATION,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 18,10,8175,Division Superintendent,Annual,2,1,121188.00,242376.00
Grant,58,OEMC,0V61,Urban Area Security Initiative,1010,OEMC,2811,Urban Areas Security Initiative - Phse 3 (ODP),3811,Urban Area Security Initiative,0,,B 16,4,8620,Senior Emergency Management Coordinator,Annual,4,1,69864.00,279456.00
Grant,41,HEALTH,0U40,Integrated HIV Surveillance and Protection,1005,DEPARTMENT OF PUBLIC HEALTH,280Y,HIV Surveillance and Prevention,380Y,HIV Surveillance and Prevention,0,,B 12,3,3434,Communicable Disease Control Investigator II,Annual,2,1,50712.00,101424.00
Local,27,FINANCE,0B21,Tax Increment Financing Administration Fund,1005,FINANCE,2012,Accounting and Financial Reporting,3019,Accounting and Financial Reporting,4051,General Accounting,B 11,1,190,Accounting Technician II,Annual,1,1,80232.00,80232.00
Grant,41,HEALTH,0U64,Ryan White HIV Care Act Part A - Emergency Relief,1005,DEPARTMENT OF PUBLIC HEALTH,2731,Ryan White HIV Care Act Part A - Emergency Relief,3731,Ryan White HIV Care Act a - Emergency Relief,0,,B 13,1,308,Staff Assistant,Annual,1,1,96564.00,96564.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3005,Administration and Support Services,0,,2 0,8,7183,Motor Truck Driver,Hourly,2,1,36.45,151632.00
Local,73,ANIMAL CARE / CONTROL,100,Corporate Fund,1005,ANIMAL CARE AND CONTROL,2005,Chicago Animal Care and Control,3005,Animal Control,0,,I 14,2,3495,Supervisor of Animal Control Officers,Annual,1,1,93312.00,93312.00
Local,59,CFD,740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 3A,87,8807,Fire Engineer - EMT,Annual,3,1,99846.00,299538.00
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3049,Collections  Ownership and Administrative Litigation,0,,L 01,9,1643,Assistant Corporation Counsel I,Annual,7,1,61884.00,433188.00
Local,84,CDOT,300,Vehicle Tax Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3256,Labor,4260,Concrete,V 10,54,427,District Clerk - Asphalt,Annual,1,1,45504.00,45504.00
Local,3,OIG,100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,1,1,58260.00,58260.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2012,Patrol Services,3286,Patrol Services,4319,District Law Enforcement,D 01,91,9161,Police Officer,Annual,644,1,68616.00,44188704.00
Local,58,OEMC,100,Corporate Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,B 14,1,8614,Supervisor of 3-1-1 Operations,Annual,1,1,96564.00,96564.00
Local,41,HEALTH,100,Corporate Fund,1005,DEPARTMENT OF PUBLIC HEALTH,2020,Public Health,3330,Food Sanitation,0,,B 13,3,2381,Sanitarian II,Annual,1,1,96564.00,96564.00
Local,67,BUILDINGS,100,Corporate Fund,1005,BUILDINGS,2005,Department of Buildings,3006,Administration,4002,Finance and Administration Services,1 00,9,9679,Deputy Commissioner,Annual,1,1,107244.00,107244.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4412,MIS - Departmental,B 15,1,653,Web Author,Annual,1,1,67008.00,67008.00
Grant,50,DFSS,0Y10,Community Services Block Grant,1005,FAMILY AND SUPPORT SERVICES,2805,Community Services Block Grant,3805,Community Services Block Grant,0,,BX 16,20,309,Coordinator of Special Projects,Annual,1,1,105420.00,105420.00
Local,58,OEMC,353,Emergency Communication Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3010,Operations,4040,Police Dispatch,I 14,2,8602,Police Communications Operator II,Annual,21,1,55260.00,1160460.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2020,Revenue Services and Operations,3220,Accounts Receivable,4204,Citation Administration,BX 13,10,801,Executive Administrative Assistant I,Annual,1,1,51324.00,51324.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2009,Organizational Development,3457,Human Resources Division,4266,Human Resources,B 08,1,430,Clerk III,Annual,1,1,48132.00,48132.00
Local,70,BACP,100,Corporate Fund,1005,BACP,2005,Department of Business Affairs and Consumer Protection,3046,Prosecutions and Adjudications,4047,Adjudications,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1050.00,1050.00
Local,81,DSS,100,Corporate Fund,1005,COMMISSIONER'S OFFICE,2006,Administrative Services Division,3009,Personnel/Payroll/Legal,4014,Payroll Services,BX 16,20,309,Coordinator of Special Projects,Annual,1,1,105420.00,105420.00
Local,54,PLANNING AND DEVELOPMENT,100,Corporate Fund,1005,Planning and Development,2005,Department of Planning and Development,3089,Planning  Historical Preservation  and Sustainability,4037,Historic Preservation,G 08,4,5404,Architect IV,Annual,1,1,114780.00,114780.00
Local,70,BACP,100,Corporate Fund,1005,BACP,2005,Department of Business Affairs and Consumer Protection,3013,Small Business Center,4041,Assistance and Licensing,BX 17,10,352,Business Consultant Supervisor,Annual,1,1,105420.00,105420.00
Grant,58,OEMC,0V61,Urban Area Security Initiative,1010,OEMC,2811,Urban Areas Security Initiative - Phse 3 (ODP),3811,Urban Area Security Initiative,0,,B 16,4,8620,Senior Emergency Management Coordinator,Annual,1,1,87168.00,87168.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2018,Bureau of Organized Crime,3303,Gang Investigation,4326,Gang Investigation Division,D 01,91,9161,Police Officer,Annual,42,1,87006.00,3654252.00
Local,58,OEMC,353,Emergency Communication Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3040,Technology,4105,Internal Secure Communications Network,G 08,4,5814,Electrical Engineer IV,Annual,1,1,114780.00,114780.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2007,Office of the First Deputy,3433,Crime Control Strategies Section,0,,3 00,10,1140,Chief Operations Analyst,Annual,1,1,92928.00,92928.00
Local,70,BACP,100,Corporate Fund,1005,BACP,2005,Department of Business Affairs and Consumer Protection,3046,Prosecutions and Adjudications,4046,Prosecutions,B 13,1,308,Staff Assistant,Annual,1,1,84024.00,84024.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4408,Contracts,3 00,0,1646,Attorney,Annual,4,1,108960.00,435840.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2012,Patrol Services,3292,Special Functions Division,4334,Traffic Section,B 09,1,665,Senior Data Entry Operator,Annual,1,1,66612.00,66612.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2005,Chicago Police Department,3436,Office of Strategy,0,,3 00,0,1127,Chief Performance Analyst,Annual,3,1,92928.00,278784.00
Local,58,OEMC,353,Emergency Communication Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3010,Operations,4040,Police Dispatch,3 00,0,8608,Communication Operations Manager,Annual,6,1,107244.00,643464.00
Local,81,DSS,100,Corporate Fund,1045,BUREAU OF FORESTRY,2060,Bureau of Forestry,3136,Forestry Operations,4063,Tree Trimming,2 0,8,7183,Motor Truck Driver,Hourly,2,1,37.09,154294.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2012,Patrol Services,3292,Special Functions Division,4333,Public Transportation Section,E 03,71,9171,Sergeant,Annual,1,1,107988.00,107988.00
